@relation 'modelo-weka.filters.unsupervised.attribute.Remove-R2-3,5-8,10-11,19-20,22-26,31-37,39,41-44,46-55,57,60,63-65,67-68,71,74'

@attribute computer numeric
@attribute gmt numeric
@attribute server numeric
@attribute science numeric
@attribute home numeric
@attribute lastmodified numeric
@attribute contentlength numeric
@attribute nov numeric
@attribute university numeric
@attribute research numeric
@attribute department numeric
@attribute course numeric
@attribute office numeric
@attribute email numeric
@attribute student numeric
@attribute tue numeric
@attribute interest numeric
@attribute classs numeric
@attribute welcome numeric
@attribute phd numeric
@attribute associate numeric
@attribute thu numeric
@attribute fax numeric
@attribute mimeversion numeric
@attribute currently numeric
@attribute phone numeric
@attribute href numeric
@attribute src numeric
@attribute endereco numeric
@attribute class {course,department,faculty,other,project,staff,student}

@data
0,2,1,0,2,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,course
1,2,1,1,0,1,1,0,1,0,0,2,3,1,3,0,0,5,0,0,0,0,0,1,0,0,26,0,1,course
0,2,1,0,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,1,0,3,15,1,1,course
0,2,1,1,5,1,1,1,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,5,1,course
0,2,1,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,course
0,2,1,0,0,1,1,0,0,6,0,9,4,2,3,0,0,3,0,0,0,0,0,1,0,2,0,9,1,course
0,2,1,1,0,1,1,0,0,0,0,6,0,0,5,1,0,1,0,1,0,1,0,1,0,0,0,0,1,course
0,2,1,1,1,1,1,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,2,1,course
0,2,1,1,1,1,1,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,2,1,course
0,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,21,0,1,course
0,2,1,0,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,course
1,2,1,0,1,1,1,0,1,0,0,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,course
0,2,1,1,3,1,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,5,1,course
0,2,1,1,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,course
1,2,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,1,course
0,2,1,0,3,1,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,16,0,1,course
5,2,6,3,2,1,1,0,1,0,4,5,7,6,0,0,1,23,0,0,0,0,0,1,0,0,99,1,1,course
2,2,1,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,1,course
0,2,1,0,0,1,1,0,0,0,0,0,4,3,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,course
0,2,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,1,course
1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,29,29,1,course
0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,course
0,2,1,1,3,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,1,course
1,2,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,1,course
0,2,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,35,4,1,course
0,2,1,0,0,1,1,0,0,0,0,4,4,0,2,0,0,8,0,0,0,0,0,1,0,0,1,1,1,course
0,2,1,0,2,1,1,0,0,0,0,5,1,0,0,0,0,10,0,0,0,0,0,1,0,0,3,1,1,course
0,2,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,course
0,2,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,course
8,2,1,1,1,1,1,1,5,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,1,0,30,3,1,course
4,2,1,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,18,2,1,course
2,2,1,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,6,6,1,course
0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,3,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,course
0,2,1,0,0,1,1,1,0,0,0,6,4,2,1,0,0,3,0,0,0,1,0,0,0,0,11,4,0,course
4,2,1,2,0,1,1,2,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,course
3,2,1,0,0,1,1,3,0,0,0,5,1,0,2,1,0,2,0,0,0,1,0,0,0,1,0,0,0,course
0,1,1,0,2,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,course
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,course
0,1,1,0,3,0,0,1,1,0,0,1,0,3,2,0,0,1,0,0,0,0,0,1,0,0,4,0,0,course
0,1,1,0,1,0,0,0,0,0,0,2,0,1,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,course
0,1,1,0,1,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,0,0,1,1,0,3,0,0,course
1,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,course
6,2,1,3,0,1,1,1,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,course
0,2,1,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,2,1,0,0,1,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,2,1,0,0,1,1,1,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,course
1,2,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,course
0,2,1,0,1,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,course
2,2,1,1,1,1,1,1,1,0,0,4,1,2,0,0,1,3,1,0,0,1,0,0,0,0,10,1,0,course
1,2,1,1,0,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,0,course
5,2,1,2,1,1,1,2,0,0,1,13,2,2,5,0,0,3,0,0,2,0,0,0,0,0,8,0,0,course
17,2,1,6,2,1,1,2,3,0,3,17,3,3,21,1,0,6,0,0,3,0,0,0,0,0,46,1,0,course
2,2,1,1,1,1,1,1,0,0,1,9,2,2,4,0,0,4,0,0,2,1,0,0,0,0,6,0,0,course
2,1,1,1,2,0,0,1,0,4,0,2,1,1,2,1,0,2,0,0,0,1,0,0,0,0,10,0,0,course
0,1,1,0,2,0,0,1,0,2,0,2,1,2,1,0,0,4,0,0,0,0,0,0,0,1,19,0,0,course
7,1,2,3,0,0,0,1,1,0,1,7,3,1,1,0,0,4,1,0,0,0,0,0,0,0,2,2,0,course
3,1,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,course
4,1,1,2,1,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,course
4,1,1,2,1,0,0,0,0,0,0,1,2,2,1,2,0,0,0,0,0,1,0,0,0,0,10,0,0,course
2,2,1,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,course
8,2,1,0,0,1,1,2,0,0,0,2,5,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,course
2,2,1,0,1,1,1,1,0,0,0,2,0,3,4,2,0,8,0,0,0,0,0,0,0,0,0,1,0,course
6,2,1,3,2,1,1,4,0,0,0,0,0,1,6,1,1,11,0,0,0,2,0,0,0,0,3,1,0,course
0,2,1,0,0,1,1,4,0,0,0,1,0,0,3,1,0,3,0,0,0,2,0,0,0,0,1,1,0,course
4,2,1,5,0,1,1,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,4,1,0,course
0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,course
0,2,1,0,0,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,course
3,2,1,2,0,1,1,1,0,5,0,4,1,0,0,1,0,1,1,1,0,0,0,0,0,0,3,0,0,course
0,2,1,0,1,1,1,4,0,0,0,0,3,1,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,course
2,2,2,0,1,1,1,2,0,0,0,1,2,2,0,1,0,1,0,0,0,0,0,0,0,1,13,0,0,course
0,2,1,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,course
0,2,1,0,1,1,1,2,0,0,0,1,2,2,0,1,0,0,0,0,0,1,0,0,0,1,15,0,0,course
0,2,1,0,1,1,1,2,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,course
0,2,1,0,1,1,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,course
0,2,1,0,1,1,1,2,0,0,0,0,8,4,0,1,0,1,0,0,0,0,0,0,0,4,24,0,0,course
0,2,1,0,0,1,1,2,1,0,0,1,7,3,0,1,0,1,0,0,0,1,0,0,0,1,60,0,0,course
2,2,2,2,1,1,1,2,0,0,0,1,4,3,1,2,0,1,0,0,0,0,0,0,0,2,19,0,0,course
3,2,1,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,course
0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,course
4,2,1,0,0,1,1,1,0,0,0,2,2,1,0,2,0,3,0,0,0,0,0,0,0,1,2,0,0,course
0,2,1,0,1,1,1,1,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,19,0,0,course
0,2,1,0,1,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,2,1,3,0,course
3,2,1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,2,1,0,1,1,1,1,0,0,0,1,8,4,0,1,0,0,0,0,0,0,0,0,0,4,8,0,0,course
0,2,1,0,1,1,1,1,0,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,1,17,0,0,course
0,2,1,0,1,1,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,course
0,2,1,0,1,1,1,1,0,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,1,23,0,0,course
0,2,1,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,course
0,2,1,0,0,1,1,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,course
2,2,2,2,1,1,1,2,0,0,0,1,2,2,1,1,0,1,0,0,0,0,0,0,0,1,9,0,0,course
0,2,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,course
2,2,1,1,1,1,1,2,0,0,0,1,4,1,2,2,0,1,0,0,0,0,0,0,0,1,2,0,0,course
0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,course
0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,course
0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,course
0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
1,2,1,1,0,1,1,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,9,0,course
0,2,1,0,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,course
2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,course
2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,course
0,2,1,0,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,course
0,2,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,2,1,0,0,1,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,course
0,2,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,2,1,0,0,1,1,2,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,course
1,2,1,1,0,1,1,2,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,course
0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,course
1,2,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,course
1,2,1,0,0,1,1,1,1,0,0,6,2,1,3,0,0,7,0,0,0,0,0,0,0,0,0,1,0,course
3,2,1,0,0,1,1,1,0,0,1,5,0,0,6,0,0,21,0,0,0,0,0,0,0,0,1,0,0,course
3,2,1,1,0,1,1,2,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,52,3,0,course
7,2,1,1,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3,0,course
3,2,1,2,1,1,1,2,4,4,4,9,0,1,1,0,0,7,2,0,0,0,0,0,0,0,13,5,0,course
0,2,1,0,1,1,1,1,0,1,1,4,0,1,0,1,0,2,1,0,0,1,0,0,0,0,1,1,0,course
3,1,1,3,1,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,3,0,course
0,2,1,0,0,1,1,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,course
0,2,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,course
6,2,1,3,0,1,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,10,0,0,course
0,2,3,0,0,1,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,74,0,0,course
0,2,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,course
0,2,1,0,0,1,1,2,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,course
0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,course
1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,course
1,2,1,0,1,1,1,1,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,course
0,2,1,0,4,1,1,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,29,21,0,course
0,2,1,0,4,1,1,1,1,0,2,1,2,1,1,1,0,4,0,0,0,0,0,0,0,2,26,30,0,course
0,2,1,0,4,1,1,1,1,0,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,13,24,0,course
0,2,1,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,2,1,1,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,course
1,2,1,0,0,1,1,2,0,0,0,2,6,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,course
2,2,1,1,3,1,1,2,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,course
4,2,1,0,1,1,1,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,17,0,course
3,2,1,1,0,1,1,2,1,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,course
0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,2,1,0,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,course
0,2,1,0,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,course
1,2,1,0,2,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,1,0,course
0,2,1,1,5,1,1,0,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,1,0,2,6,2,0,course
3,2,2,0,0,1,1,2,1,0,0,9,0,1,2,1,0,0,0,0,0,1,0,0,0,0,8,0,0,course
7,2,1,2,0,1,1,2,0,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,12,17,0,course
1,1,1,2,0,0,0,0,0,0,0,8,0,1,2,0,0,0,0,0,0,0,1,1,0,0,8,0,0,course
0,1,1,0,0,0,0,0,0,0,0,5,1,0,4,0,0,0,0,0,0,0,1,1,0,0,24,0,0,course
0,2,1,0,0,1,1,1,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,course
0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,course
5,2,1,1,2,1,1,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,course
0,2,1,0,2,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,course
2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,course
0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,1,0,course
0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,1,0,course
2,2,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,course
0,2,1,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,course
2,2,1,1,2,1,1,0,0,1,1,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,course
5,2,1,0,3,1,0,2,1,0,0,6,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,17,0,course
5,2,1,5,2,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,course
0,2,1,2,4,1,0,1,1,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,13,17,0,course
0,2,1,0,1,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,course
3,2,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,course
2,2,1,2,0,1,1,1,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,course
1,2,1,1,0,1,1,0,0,0,0,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,course
0,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,course
1,2,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,course
5,2,1,3,0,1,0,2,3,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,2,0,course
5,2,1,3,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3,0,course
0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,course
3,2,1,1,2,1,0,1,1,0,1,5,0,1,2,0,0,0,0,0,0,0,0,0,2,0,9,5,0,course
1,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,course
0,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,22,0,course
1,2,1,1,2,1,0,1,1,0,1,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,course
0,2,1,0,1,1,0,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,course
0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,16,0,course
0,2,1,0,0,1,1,1,0,0,0,0,2,3,1,1,0,1,0,0,0,0,0,1,0,2,0,7,0,course
0,2,1,0,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,67,0,course
3,2,1,0,0,1,1,1,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,course
1,2,1,0,1,1,1,2,1,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,2,2,2,0,course
2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,16,0,course
0,2,1,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,11,0,course
0,2,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,course
0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,course
4,2,1,1,0,1,1,2,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,3,0,0,course
0,2,1,0,0,1,1,1,0,0,0,0,2,3,1,2,1,3,0,0,0,0,0,1,0,2,7,1,0,course
2,2,1,0,0,1,1,2,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,1,0,1,0,0,0,course
0,2,1,0,1,1,1,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,8,27,0,course
3,2,1,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,course
0,2,1,0,0,1,1,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,2,0,course
0,2,1,0,0,1,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,3,1,0,course
0,2,1,0,2,1,1,1,0,1,0,3,0,1,3,1,0,0,0,0,0,0,0,1,0,0,48,1,0,course
0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
6,2,1,2,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
1,2,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,3,0,course
2,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
2,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,course
2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,course
0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,course
