@relation modelo

@attribute computer numeric
@attribute programming numeric
@attribute page numeric
@attribute gmt numeric
@attribute project numeric
@attribute system numeric
@attribute information numeric
@attribute date numeric
@attribute server numeric
@attribute contenttype numeric
@attribute texthtml numeric
@attribute science numeric
@attribute home numeric
@attribute lastmodified numeric
@attribute contentlength numeric
@attribute nov numeric
@attribute university numeric
@attribute research numeric
@attribute language numeric
@attribute design numeric
@attribute department numeric
@attribute new numeric
@attribute parallel numeric
@attribute network numeric
@attribute software numeric
@attribute work numeric
@attribute course numeric
@attribute office numeric
@attribute email numeric
@attribute student numeric
@attribute engineering numeric
@attribute group numeric
@attribute distributed numeric
@attribute lab numeric
@attribute time numeric
@attribute algorithm numeric
@attribute web numeric
@attribute tue numeric
@attribute link numeric
@attribute interest numeric
@attribute publication numeric
@attribute development numeric
@attribute model numeric
@attribute application numeric
@attribute classs numeric
@attribute problem numeric
@attribute cs numeric
@attribute postscript numeric
@attribute c numeric
@attribute schedule numeric
@attribute graduate numeric
@attribute report numeric
@attribute technical numeric
@attribute college numeric
@attribute last numeric
@attribute welcome numeric
@attribute conference numeric
@attribute phd numeric
@attribute associate numeric
@attribute j numeric
@attribute thu numeric
@attribute fax numeric
@attribute data numeric
@attribute processing numeric
@attribute general numeric
@attribute mimeversion numeric
@attribute technology numeric
@attribute support numeric
@attribute currently numeric
@attribute phone numeric
@attribute cornell numeric
@attribute href numeric
@attribute src numeric
@attribute li numeric
@attribute endereco numeric

@attribute class {course, department, faculty, other, project, staff, student}

@data
8,2,3,2,5,2,0,1,1,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,8,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,6,30,3,27,1,course
4,0,3,2,3,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,2,14,1,course
2,0,0,2,0,2,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,6,0,1,course
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,5,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,9,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,course
0,0,2,2,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,4,2,1,0,0,0,0,0,15,0,0,0,0,0,0,1,5,3,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,11,4,0,0,course
4,8,0,2,3,5,0,1,1,1,1,2,0,1,1,2,0,0,2,6,0,0,0,1,2,0,5,0,0,1,0,3,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,25,0,course
3,1,0,2,0,3,1,1,1,1,1,0,0,1,1,3,0,0,1,3,0,1,0,0,2,4,5,1,0,2,0,7,0,44,3,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,course
0,0,1,1,0,0,0,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,course
0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,course
0,0,1,1,0,0,0,1,1,1,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,course
0,0,0,1,2,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,course
0,1,0,1,2,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,1,0,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,course
1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,23,0,course
6,7,0,2,0,0,0,1,1,1,1,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,2,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,2,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,2,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
1,0,0,2,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,1,2,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,course
2,0,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,1,15,0,course
1,2,1,2,2,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,55,0,course
5,0,0,2,1,2,2,5,1,1,1,2,1,1,1,2,0,0,0,0,1,1,0,0,0,5,13,2,2,5,0,1,0,0,0,2,0,0,0,0,0,1,0,2,3,3,2,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,8,0,52,0,course
17,61,2,2,1,1,3,1,1,1,1,6,2,1,1,2,3,0,8,0,3,3,0,3,1,7,17,3,3,21,0,0,0,0,9,2,1,1,4,0,0,0,2,0,6,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,2,0,0,0,0,0,0,46,1,71,0,course
2,0,0,2,6,5,3,3,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,5,9,2,2,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,0,1,1,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,6,0,55,0,course
2,0,0,1,0,3,0,1,1,1,1,1,2,0,0,1,0,4,0,0,0,0,0,0,0,0,2,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,7,0,course
0,2,4,1,4,0,0,1,1,1,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19,0,0,0,course
7,3,0,1,0,0,0,1,2,1,1,3,0,0,0,1,1,0,4,0,1,1,0,0,0,5,7,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,4,8,3,6,1,0,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,4,0,course
3,0,0,1,0,0,0,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,14,0,course
4,0,1,1,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,0,6,0,course
4,0,1,1,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,10,0,5,0,course
2,1,0,2,0,0,0,1,1,1,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,course
8,1,0,2,0,0,1,1,1,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,5,3,2,0,0,0,1,0,0,2,1,0,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,3,0,0,0,0,0,course
2,0,0,2,74,2,0,6,1,1,1,0,1,1,1,1,0,0,4,40,0,5,0,0,18,12,2,0,3,4,6,0,0,1,3,0,0,2,0,0,0,16,0,0,8,0,0,0,3,9,0,37,3,0,1,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,1,29,0,course
6,0,3,2,3,0,3,2,1,1,1,3,2,1,1,4,0,0,4,0,0,0,0,0,3,2,0,0,1,6,0,1,0,9,2,0,1,1,0,1,0,5,1,0,11,3,2,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,2,1,0,0,0,3,1,0,0,course
0,2,4,2,5,0,0,1,1,1,1,0,0,1,1,4,0,0,3,2,0,1,0,0,3,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,1,1,2,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,course
4,0,2,2,0,0,0,1,1,1,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,17,0,course
0,0,0,2,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,course
0,0,0,2,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,0,course
0,0,0,2,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,course
